ISO3,INDEP,NAME,CF,EB,FB,WK,WO
ABW,NO,Aruba,1,0,1,0,1
AFG,YES,Afghanistan,1,1,1,1,1
AGO,YES,Angola,1,1,1,1,1
AIA,NO,Anguilla,1,0,1,0,1
ALA,NO,Åland Islands,1,0,0,0,0
ALB,YES,Albania,1,1,1,1,1
AND,YES,Andorra,1,1,1,1,1
ARE,YES,United Arab Emirates,1,1,1,1,1
ARG,YES,Argentina,1,1,1,1,1
ARM,YES,Armenia,1,1,1,1,1
ASM,NO,American Samoa,1,0,1,0,1
ATA,NO,Antarctica,1,0,1,0,0
ATF,NO,French Southern Territories,1,0,1,0,0
ATG,YES,Antigua & Barbuda,1,1,1,1,1
AUS,YES,Australia,1,1,1,1,1
AUT,YES,Austria,1,1,1,1,1
AZE,YES,Azerbaijan,1,1,1,1,1
BDI,YES,Burundi,1,1,1,1,1
BEL,YES,Belgium,1,1,1,1,1
BEN,YES,Benin,1,1,1,1,1
BES,NO,Caribbean Netherlands,1,0,0,0,0
BFA,YES,Burkina Faso,1,1,1,1,1
BGD,YES,Bangladesh,1,1,1,1,1
BGR,YES,Bulgaria,1,1,1,1,1
BHR,YES,Bahrain,1,1,1,1,1
BHS,YES,Bahamas,1,1,1,1,1
BIH,YES,Bosnia,1,1,1,1,1
BLM,NO,St. Barthélemy,1,0,1,0,0
BLR,YES,Belarus,1,1,1,1,1
BLZ,YES,Belize,1,1,1,1,1
BMU,NO,Bermuda,1,0,1,0,1
BOL,YES,Bolivia,1,1,1,1,1
BRA,YES,Brazil,1,1,1,1,1
BRB,YES,Barbados,1,1,1,1,1
BRN,YES,Brunei,1,1,1,1,1
BTN,YES,Bhutan,1,1,1,1,1
BVT,NO,Bouvet Island,1,0,1,0,0
BWA,YES,Botswana,1,1,1,1,1
CAF,YES,Central African Republic,1,1,1,1,1
CAN,YES,Canada,1,1,1,1,1
CCK,NO,Cocos (Keeling) Islands,1,0,1,0,0
CHE,YES,Switzerland,1,1,1,1,1
CHL,YES,Chile,1,1,1,1,1
CHN,YES,China,1,1,1,1,1
CIV,YES,Côte d’Ivoire,1,1,1,1,1
CMR,YES,Cameroon,1,1,1,1,1
COD,YES,Congo - Kinshasa,1,1,1,1,1
COG,YES,Congo - Brazzaville,1,1,1,1,0
COK,NO,Cook Islands,1,0,1,0,0
COL,YES,Colombia,1,1,1,1,1
COM,YES,Comoros,1,1,1,1,1
CPV,YES,Cape Verde,1,1,1,1,1
CRI,YES,Costa Rica,1,1,1,1,1
CUB,YES,Cuba,1,1,1,1,1
CUW,NO,Curaçao,1,0,1,0,1
CXR,NO,Christmas Island,1,0,1,0,0
CYM,NO,Cayman Islands,1,0,1,0,1
